date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:55:19	105004/105004	---M--	200	added ('OK')	text/html	etag:%223d6fb6a50cefbff220b324b59f572afc%22	http://www.themenate.net/espire/html/dist/index.html	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/index.html	(from )
10:55:21	127/127	---M--	404	error ('Not%20Found')	application/xml	date:Mon,%2027%20Jul%202020%2010:55:20%20GMT	http://www.themenate.net/robots.txt		(from )
10:55:22	4161/4161	---M--	200	added ('OK')	image/png	etag:%22761cc101e28a81344c3fb6ce063066ab%22	http://www.themenate.net/espire/html/dist/assets/images/logo/favicon.png	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/images/logo/favicon.png	(from http://www.themenate.net/espire/html/dist/index.html)
10:55:23	187126/187126	---M--	200	added ('OK')	text/css	etag:%22c17ae4f0529e0bc2fc887d2471ae124b%22	http://www.themenate.net/espire/html/dist/assets/vendors/bootstrap/dist/css/bootstrap.css	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/bootstrap/dist/css/bootstrap.css	(from http://www.themenate.net/espire/html/dist/index.html)
10:55:24	432/432	---M--	200	added ('OK')	text/css	etag:%2284af19d3d0c370a809b14721ff2422e2%22	http://www.themenate.net/espire/html/dist/assets/vendors/PACE/themes/blue/pace-theme-minimal.css	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/PACE/themes/blue/pace-theme-minimal.css	(from http://www.themenate.net/espire/html/dist/index.html)
10:55:25	4631/4631	---M--	200	added ('OK')	text/css	etag:%22b03e0d12e84c15d6ac7b05d32605295f%22	http://www.themenate.net/espire/html/dist/assets/vendors/perfect-scrollbar/css/perfect-scrollbar.min.css	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/perfect-scrollbar/css/perfect-scrollbar.min.css	(from http://www.themenate.net/espire/html/dist/index.html)
10:55:25	752/752	---M--	200	added ('OK')	text/css	etag:%226d2b7b3e1824019bb006e7fa6514409b%22	http://www.themenate.net/espire/html/dist/assets/vendors/bower-jvectormap/jquery-jvectormap-1.2.2.css	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/bower-jvectormap/jquery-jvectormap-1.2.2.css	(from http://www.themenate.net/espire/html/dist/index.html)
10:55:25	8420/8420	---M--	200	added ('OK')	text/css	etag:%22bb0530e2c3a5df6236a946b29a31d1ce%22	http://www.themenate.net/espire/html/dist/assets/vendors/nvd3/build/nv.d3.min.css	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/vendors/nvd3/build/nv.d3.min.css	(from http://www.themenate.net/espire/html/dist/index.html)
10:55:27	35320/35320	---M--	200	added ('OK')	text/css	etag:%22acfd0be15fa669226ed5fac8fdab347e%22	http://www.themenate.net/espire/html/dist/assets/css/ei-icon.css	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/css/ei-icon.css	(from http://www.themenate.net/espire/html/dist/index.html)
10:55:27	17531/17531	---M--	200	added ('OK')	text/css	etag:%223b10b21e855baa6fd9d2b2fc50088ae0%22	http://www.themenate.net/espire/html/dist/assets/css/themify-icons.css	C:/Mes%20Sites%20Web/http___www.themenate.net_espire_html_dist/www.themenate.net/espire/html/dist/assets/css/themify-icons.css	(from http://www.themenate.net/espire/html/dist/index.html)
